[START] STEP4
[INPUT] PDBs=1165
[ALIGNED] 3gsr: 3gsr_aligned.pdb
[ALIGNED] 3gsu: 3gsu_aligned.pdb
[ALIGNED] 3gsv: 3gsv_aligned.pdb
[ALIGNED] 3gsw: 3gsw_aligned.pdb
[ALIGNED] 3gsx: 3gsx_aligned.pdb
[ALIGNED] 3h7b: 3h7b_aligned.pdb
[ALIGNED] 3h9h: 3h9h_aligned.pdb
[ALIGNED] 3h9s: 3h9s_aligned.pdb
[ALIGNED] 3hae: 3hae_aligned.pdb
[ALIGNED] 3hcv: 3hcv_aligned.pdb
[ALIGNED] 3hg1: 3hg1_aligned.pdb
[ALIGNED] 3hla: 3hla_aligned.pdb
[ALIGNED] 3hpj: 3hpj_aligned.pdb
[ALIGNED] 3huj: 3huj_aligned.pdb
[ALIGNED] 3i6g: 3i6g_aligned.pdb
[ALIGNED] 3i6k: 3i6k_aligned.pdb
[ALIGNED] 3i6l: 3i6l_aligned.pdb
[ALIGNED] 3it8: 3it8_aligned.pdb
[ALIGNED] 3ixa: 3ixa_aligned.pdb
[ALIGNED] 3jtc: 3jtc_aligned.pdb
[ALIGNED] 3kla: 3kla_aligned.pdb
[ALIGNED] 3kpl: 3kpl_aligned.pdb
[ALIGNED] 3kpm: 3kpm_aligned.pdb
[ALIGNED] 3kpn: 3kpn_aligned.pdb
[ALIGNED] 3kpo: 3kpo_aligned.pdb
[ALIGNED] 3kpp: 3kpp_aligned.pdb
[ALIGNED] 3kpq: 3kpq_aligned.pdb
[ALIGNED] 3kpr: 3kpr_aligned.pdb
[ALIGNED] 3kps: 3kps_aligned.pdb
[ALIGNED] 3kww: 3kww_aligned.pdb
[ALIGNED] 3kxf: 3kxf_aligned.pdb
[ALIGNED] 3kyn: 3kyn_aligned.pdb
[ALIGNED] 3kyo: 3kyo_aligned.pdb
[ALIGNED] 3l3d: 3l3d_aligned.pdb
[ALIGNED] 3l3g: 3l3g_aligned.pdb
[ALIGNED] 3l3i: 3l3i_aligned.pdb
[ALIGNED] 3l3j: 3l3j_aligned.pdb
[ALIGNED] 3l3k: 3l3k_aligned.pdb
[ALIGNED] 3lkn: 3lkn_aligned.pdb
[ALIGNED] 3lko: 3lko_aligned.pdb
[ALIGNED] 3lkp: 3lkp_aligned.pdb
[ALIGNED] 3lkq: 3lkq_aligned.pdb
[ALIGNED] 3lkr: 3lkr_aligned.pdb
[ALIGNED] 3lks: 3lks_aligned.pdb
[ALIGNED] 3ln4: 3ln4_aligned.pdb
[ALIGNED] 3ln5: 3ln5_aligned.pdb
[ALIGNED] 3lv3: 3lv3_aligned.pdb
[ALIGNED] 3m17: 3m17_aligned.pdb
[ALIGNED] 3m1b: 3m1b_aligned.pdb
[ALIGNED] 3mgo: 3mgo_aligned.pdb
[ALIGNED] 3mgt: 3mgt_aligned.pdb
[ALIGNED] 3mr9: 3mr9_aligned.pdb
[ALIGNED] 3mrb: 3mrb_aligned.pdb
[ALIGNED] 3mrc: 3mrc_aligned.pdb
[ALIGNED] 3mrd: 3mrd_aligned.pdb
[ALIGNED] 3mre: 3mre_aligned.pdb
[ALIGNED] 3mrf: 3mrf_aligned.pdb
[ALIGNED] 3mrg: 3mrg_aligned.pdb
[ALIGNED] 3mrh: 3mrh_aligned.pdb
[ALIGNED] 3mri: 3mri_aligned.pdb
[ALIGNED] 3mrj: 3mrj_aligned.pdb
[ALIGNED] 3mrk: 3mrk_aligned.pdb
[ALIGNED] 3mrl: 3mrl_aligned.pdb
[ALIGNED] 3mrm: 3mrm_aligned.pdb
[ALIGNED] 3mrn: 3mrn_aligned.pdb
[ALIGNED] 3mro: 3mro_aligned.pdb
[ALIGNED] 3mrp: 3mrp_aligned.pdb
[ALIGNED] 3mrq: 3mrq_aligned.pdb
[ALIGNED] 3mrr: 3mrr_aligned.pdb
[ALIGNED] 3mv7: 3mv7_aligned.pdb
[ALIGNED] 3mv8: 3mv8_aligned.pdb
[ALIGNED] 3mv9: 3mv9_aligned.pdb
[ALIGNED] 3myj: 3myj_aligned.pdb
[ALIGNED] 3nfn: 3nfn_aligned.pdb
[ALIGNED] 3o3a: 3o3a_aligned.pdb
[ALIGNED] 3o3b: 3o3b_aligned.pdb
[ALIGNED] 3o3d: 3o3d_aligned.pdb
[ALIGNED] 3o3e: 3o3e_aligned.pdb
[ALIGNED] 3o4l: 3o4l_aligned.pdb
[ALIGNED] 3ov6: 3ov6_aligned.pdb
[ALIGNED] 3ox8: 3ox8_aligned.pdb
[ALIGNED] 3oxr: 3oxr_aligned.pdb
[ALIGNED] 3oxs: 3oxs_aligned.pdb
[ALIGNED] 3pwj: 3pwj_aligned.pdb
[ALIGNED] 3pwl: 3pwl_aligned.pdb
[ALIGNED] 3pwn: 3pwn_aligned.pdb
[ALIGNED] 3pwp: 3pwp_aligned.pdb
[ALIGNED] 3qdg: 3qdg_aligned.pdb
[ALIGNED] 3qdj: 3qdj_aligned.pdb
[ALIGNED] 3qdm: 3qdm_aligned.pdb
[ALIGNED] 3qeq: 3qeq_aligned.pdb
[ALIGNED] 3qfd: 3qfd_aligned.pdb
[ALIGNED] 3qfj: 3qfj_aligned.pdb
[ALIGNED] 3qzw: 3qzw_aligned.pdb
[ALIGNED] 3rew: 3rew_aligned.pdb
[ALIGNED] 3rl1: 3rl1_aligned.pdb
[ALIGNED] 3rl2: 3rl2_aligned.pdb
[ALIGNED] 3s6c: 3s6c_aligned.pdb
[ALIGNED] 3sdx: 3sdx_aligned.pdb
[ALIGNED] 3sjv: 3sjv_aligned.pdb
[ALIGNED] 3skm: 3skm_aligned.pdb
[ALIGNED] 3sko: 3sko_aligned.pdb
[ALIGNED] 3spv: 3spv_aligned.pdb
[ALIGNED] 3t8x: 3t8x_aligned.pdb
[ALIGNED] 3to2: 3to2_aligned.pdb
[ALIGNED] 3tzv: 3tzv_aligned.pdb
[ALIGNED] 3u0p: 3u0p_aligned.pdb
[ALIGNED] 3upr: 3upr_aligned.pdb
[ALIGNED] 3utq: 3utq_aligned.pdb
[ALIGNED] 3uts: 3uts_aligned.pdb
[ALIGNED] 3utt: 3utt_aligned.pdb
[ALIGNED] 3v5d: 3v5d_aligned.pdb
[ALIGNED] 3v5h: 3v5h_aligned.pdb
[ALIGNED] 3v5k: 3v5k_aligned.pdb
[ALIGNED] 3vcl: 3vcl_aligned.pdb
[ALIGNED] 3vfm: 3vfm_aligned.pdb
[ALIGNED] 3vfn: 3vfn_aligned.pdb
[ALIGNED] 3vfo: 3vfo_aligned.pdb
[ALIGNED] 3vfp: 3vfp_aligned.pdb
[ALIGNED] 3vfr: 3vfr_aligned.pdb
[ALIGNED] 3vfs: 3vfs_aligned.pdb
[ALIGNED] 3vft: 3vft_aligned.pdb
[ALIGNED] 3vfu: 3vfu_aligned.pdb
[ALIGNED] 3vfv: 3vfv_aligned.pdb
[ALIGNED] 3vfw: 3vfw_aligned.pdb
[ALIGNED] 3vh8: 3vh8_aligned.pdb
[ALIGNED] 3vri: 3vri_aligned.pdb
[ALIGNED] 3vrj: 3vrj_aligned.pdb
[ALIGNED] 3vwj: 3vwj_aligned.pdb
[ALIGNED] 3vwk: 3vwk_aligned.pdb
[ALIGNED] 3vxm: 3vxm_aligned.pdb
[ALIGNED] 3vxn: 3vxn_aligned.pdb
[ALIGNED] 3vxo: 3vxo_aligned.pdb
[ALIGNED] 3vxp: 3vxp_aligned.pdb
[ALIGNED] 3vxr: 3vxr_aligned.pdb
[ALIGNED] 3vxs: 3vxs_aligned.pdb
[ALIGNED] 3vxu: 3vxu_aligned.pdb
[ALIGNED] 3w0w: 3w0w_aligned.pdb
[ALIGNED] 3w39: 3w39_aligned.pdb
[ALIGNED] 3wl9: 3wl9_aligned.pdb
[ALIGNED] 3wlb: 3wlb_aligned.pdb
[ALIGNED] 3wuw: 3wuw_aligned.pdb
[ALIGNED] 3x11: 3x11_aligned.pdb
[ALIGNED] 3x12: 3x12_aligned.pdb
[ALIGNED] 3x13: 3x13_aligned.pdb
[ALIGNED] 3x14: 3x14_aligned.pdb
[ALIGNED] 4e5x: 4e5x_aligned.pdb
[ALIGNED] 4en3: 4en3_aligned.pdb
[ALIGNED] 4eup: 4eup_aligned.pdb
[ALIGNED] 4f7m: 4f7m_aligned.pdb
[ALIGNED] 4f7p: 4f7p_aligned.pdb
[ALIGNED] 4f7t: 4f7t_aligned.pdb
[ALIGNED] 4ffe: 4ffe_aligned.pdb
[ALIGNED] 4ftv: 4ftv_aligned.pdb
[ALIGNED] 4g8g: 4g8g_aligned.pdb
[ALIGNED] 4g8i: 4g8i_aligned.pdb
[ALIGNED] 4g9d: 4g9d_aligned.pdb
[ALIGNED] 4g9f: 4g9f_aligned.pdb
[ALIGNED] 4gkn: 4gkn_aligned.pdb
[ALIGNED] 4gks: 4gks_aligned.pdb
[ALIGNED] 4gup: 4gup_aligned.pdb
[ALIGNED] 4hwz: 4hwz_aligned.pdb
[ALIGNED] 4hx1: 4hx1_aligned.pdb
[ALIGNED] 4i48: 4i48_aligned.pdb
[ALIGNED] 4i4w: 4i4w_aligned.pdb
[ALIGNED] 4jfd: 4jfd_aligned.pdb
[ALIGNED] 4jfe: 4jfe_aligned.pdb
[ALIGNED] 4jff: 4jff_aligned.pdb
[ALIGNED] 4jfo: 4jfo_aligned.pdb
[ALIGNED] 4jfp: 4jfp_aligned.pdb
[ALIGNED] 4jfq: 4jfq_aligned.pdb
[ALIGNED] 4jqv: 4jqv_aligned.pdb
[ALIGNED] 4jqx: 4jqx_aligned.pdb
[ALIGNED] 4jrx: 4jrx_aligned.pdb
