binder_name_raw,regex_mapping,manual_mapping,mapped_superclass
3C8 T cell receptor alpha-chain,TCRa,,TCR
3C8 T cell receptor beta-chain,TCRb,,TCR
NKT15 beta-chain,unknown,TCRb,TCR
T-cell receptor alpha variable TRAV9-2 - BC8B TCR,TCRa,,TCR
T-cell receptor beta variable TRBV6-2 - BC8B TCR,TCRb,,TCR
GEM42 TCR alpha chain,TCRa,,TCR
GEM42 TCR beta chain,TCRb,,TCR
PG90 TCR beta chain,TCRb,,TCR
Y-50 TCR alpha,TCRa,,TCR
Y-50 TCR beta,TCRb,,TCR
TCR Alpha Chain-TRAV12-3,TCRa,,TCR
TCR Beta Chain-TRBV6-5,TCRb,,TCR
PfEMP1,unknown,PfEMP1,PfEMP1
"T cell receptor alpha variable 10, nkt tcr alpha chain fusion",TCRa,,TCR
"T-cell receptor alpha variable 26-1,TRA@ protein",TCRa,,TCR
PROTEIN (human T-Cell receptor),TCRa,,TCR
HUMAN NKT TCR ALPHA CHAIN,,TCRa,TCR
HUMAN NKT TCR BETA CHAIN,,TCRb,TCR
T-Cell Receptor Chain alpha,,TCRa,TCR
"TCR alpha chain,Human nkt tcr alpha chain",,TCRa,TCR
TCR 55 beta chain,,TCRb,TCR
"DMF5 alpha chain,DMF5 alpha chain",,TCRa,TCR
"DMF5 beta chain,DMF5 beta chain",,TCRb,TCR
nkt tcr beta chain,,TCRb,TCR
Nanobody VHH ID5,,VHH,VHH
3H4 Fab heavy chain,,AbH,Ab
3H4 Fab light chain,,AbL,Ab
Nanobody VHH ID17,,VHH,VHH
TCR 589 beta chain,,TCRb,TCR
